于仪	63	88.1	151.1
于依	21	86.4	107.4
于韶然	92	79.0	171.0
于宜	61	86.4	147.4
于煦彤	60	94.5	154.5
于煦桐	70	86.7	156.7
于继胜	70	95.1	165.1
于琇	88	97.1	185.1
于一	20	75.0	95.0
于玷林	20.5	90.9	111.4
于恒博	92	88.8	180.8
于勇基	21	76.9	97.9
于子藤	77	84.1	161.1
于睿欢	99	81.8	180.8
于颜昌	73	87.6	160.6
于缸涵	75	89.5	164.5
于然铭	91	87.7	178.7
于一诺	23.5	71.1	94.6
于甲茏	61.5	83.1	144.6
于然明	96	84.9	180.9
于仑博	61	83.8	144.8
于芷美	76	74.3	150.3
于伯然	98	65.7	163.7
于性冉	62	79.0	141.0
于臻焘	24	75.6	99.6
于天淇	64	76.8	140.8
于铭洋	98	78.2	176.2
于招娣	21	68.8	89.8
于禧同	62	69.0	131.0
于禧彤	64	72.6	136.6
于禧童	98	80.8	178.8
于禧桐	80.5	69.8	150.3
于徐溪	97	84.3	181.3
于作韬	65	72.9	137.9
于文凯	79	76.8	155.8
于洋葳	77	83.1	160.1
于瑜霭	71.5	83.1	154.6
于蕴涵	77	90.3	167.3
于海璐	60.5	80.4	140.9
于炬博	92	89.5	181.5
于嘉玥	21	76.9	97.9
于雅沁	76	84.9	160.9
于媛响	62	91.8	153.8
于秋哲	61	68.8	129.8
于志畅	22	80.7	102.7
于嘉沐	76	79.5	155.5
于慧兰	76.5	85.0	161.5
于飞博	92	89.5	181.5
于珍贝	63.5	78.4	141.9
于嘉乐	22	86.0	108.0
于鑫宇	62	76.0	138.0
于彧斐	60	88.8	148.8
于嘉泯	76	76.9	152.9
于治瑗	75	79.1	154.1
于竣博	97	87.3	184.3
于冉酆	62	80.1	142.1
于应利	24	71.6	95.6
于德宏	61	81.7	142.7
于生英	74	75.9	149.9
于凝绿	63	74.3	137.3
于容靓	62	83.1	145.1
于敦然	62	87.3	149.3
于欣颜	63	87.9	150.9
于晰然	90	87.3	177.3
于馨奕	71	89.0	160.0
于艺然	70	86.6	156.6
于巷涵	92	89.5	181.5
于博瀛	92	93.9	185.9
于博瀚	92	93.9	185.9
于韬柳	20.5	77.6	98.1
于博濮	93	84.9	177.9
于梓颢	60	87.1	147.1
于韬灵	20	73.8	93.8
于博灏	95.5	82.9	178.4
于楚杰	62	87.4	149.4
于云灿	61	89.8	150.8
于小冉	60.5	88.6	149.1
于道旺	24	71.2	95.2
于云策	77	87.3	164.3
于骨涵	75	88.8	163.8
于陆然	62.5	76.9	139.4
于艳琴	24.5	72.9	97.4
于存甫	97	81.3	178.3
于红波	92.5	82.0	174.5
于珊	88	97.1	185.1
于帅岚	60	89.5	149.5
于本哲	23	87.8	110.8
于高涵	75	88.8	163.8
于新富	97	87.4	184.4
于文馨	98	79.7	177.7
于仁春	89	89.3	178.3
于彦波	75.5	82.0	157.5
于彦博	75	89.5	164.5
于彦搏	75	79.1	154.1
于涂婷	62	87.4	149.4
于上	88	86.0	174.0
于麒云	75	81.3	156.3
于汕	100.5	69.3	169.8
于文茜	79	76.8	155.8
于生	91	84.5	175.5
于荣夏	23	78.2	101.2
于彦昌	73.5	71.1	144.6
于云波	92	94.4	186.4
于云博	94	87.3	181.3
于艳强	23	78.0	101.0
于舒昕	61	84.9	145.9
于汉新	96.5	83.3	179.8
于涵瑜	98	87.7	185.7
于稹博	99.5	76.7	176.2
于永彦	78	78.3	156.3
于一黄	20	87.5	107.5
于思懿	60	82.8	142.8
于浩晨	95	80.4	175.4
于哉燊	62	79.5	141.5
于焓冉	23	71.6	94.6
于程熙	62	86.9	148.9
于予畅	21.5	86.4	107.9
于淘然	97	87.3	184.3
于展浩	60	96.3	156.3
于公民	77	75.3	152.3
于奕祯	20	79.1	99.1
于立秋	63	78.3	141.3
于钟政	60.5	87.5	148.0
于彦翔	20	89.5	109.5
于雪颜	76	81.5	157.5
于沥水	94	83.9	177.9
于运茂	25.5	69.4	94.9
于宁垒	21	86.1	107.1
于劭宇	62	79.9	141.9
于革涵	75	89.5	164.5
于雪瑶	63	75.4	138.4
于春玲	61	68.8	129.8
于雪阳	60.5	80.4	140.9
于光辉	62	82.2	144.2
于永理	64.5	75.2	139.7
于雪含	92.5	83.2	175.7
于佳瑜	70	88.1	158.1
于泽炜	63	73.8	136.8
于博柠	76	84.9	160.9
于宝然	60	95.1	155.1
于雪彦	76	75.1	151.1
于远邹	64	76.1	140.1
于姿采	63	78.2	141.2
于丁观	23.5	80.9	104.4
于天舒	64	76.8	140.8
于锆	91	88.1	179.1
于昕懿	21	83.9	104.9
于淑芳	75	87.2	162.2
于子露	92	84.0	176.0
于海顺	95	75.8	170.8
于沛泽	94	86.1	180.1
于一一	20	83.1	103.1
于莘菲	63.5	81.4	144.9
于锴	93.5	69.8	163.3
于区儒	73.5	71.0	144.5
于可栋	64.5	75.2	139.7
于志威	25	69.2	94.2
于益维	22	84.3	106.3
于玲立	22	91.0	113.0
于卫宁	22	87.8	109.8
于镔	88	93.3	181.3
于玲力	20	91.8	111.8
于幻繻	98	79.7	177.7
于来默	62	85.9	147.9
于心洋	98	79.3	177.3
于冬玲	23	87.8	110.8
于栩泽	78.5	79.1	157.6
于姝壵	21	71.8	92.8
于峥彦	21	75.1	96.1
于审然	92.5	76.7	169.2
于景元	63	84.0	147.0
